# Auto-generated by gen_game_ctx.py -- DO NOT EDIT
# source_file	line_no	scope	storage	original_name	member_name	kind	type	raw_decl
bag.c	194	file	static	sOpenWindows	sOpenWindows	plain	u8[11]	static EWRAM_DATA u8 sOpenWindows[11] = {};
battle_ai_script_commands.c	42	file	static	sAIScriptPtr	sAIScriptPtr	plain	const u8 *	static EWRAM_DATA const u8 *sAIScriptPtr = NULL;
battle_anim.c	21	file	static	sBattleAnimScriptPtr	sBattleAnimScriptPtr	plain	const u8 *	EWRAM_DATA static const u8 *sBattleAnimScriptPtr = NULL;
battle_anim.c	22	file	static	sBattleAnimScriptRetAddr	sBattleAnimScriptRetAddr	plain	const u8 *	EWRAM_DATA static const u8 *sBattleAnimScriptRetAddr = NULL;
battle_anim.c	23	file	global	gAnimScriptCallback	gAnimScriptCallback	func_ptr	void (*gAnimScriptCallback)(void)	EWRAM_DATA void (*gAnimScriptCallback)(void) = NULL;
battle_anim.c	24	file	static	sAnimFramesToWait	sAnimFramesToWait	plain	s8	EWRAM_DATA static s8 sAnimFramesToWait = 0;
battle_anim.c	25	file	global	gAnimScriptActive	gAnimScriptActive	plain	bool8	EWRAM_DATA bool8 gAnimScriptActive = FALSE;
battle_anim.c	26	file	global	gAnimVisualTaskCount	gAnimVisualTaskCount	plain	u8	EWRAM_DATA u8 gAnimVisualTaskCount = 0;
battle_anim.c	27	file	global	gAnimSoundTaskCount	gAnimSoundTaskCount	plain	u8	EWRAM_DATA u8 gAnimSoundTaskCount = 0;
battle_anim.c	28	file	global	gAnimDisableStructPtr	gAnimDisableStructPtr	plain	struct DisableStruct *	EWRAM_DATA struct DisableStruct *gAnimDisableStructPtr = NULL;
battle_anim.c	29	file	global	gAnimMoveDmg	gAnimMoveDmg	plain	s32	EWRAM_DATA s32 gAnimMoveDmg = 0;
battle_anim.c	30	file	global	gAnimMovePower	gAnimMovePower	plain	u16	EWRAM_DATA u16 gAnimMovePower = 0;
battle_anim.c	31	file	static	sAnimSpriteIndexArray	sAnimSpriteIndexArray	plain	u16[ANIM_SPRITE_INDEX_COUNT]	EWRAM_DATA static u16 sAnimSpriteIndexArray[ANIM_SPRITE_INDEX_COUNT] = {0};
battle_anim.c	32	file	global	gAnimFriendship	gAnimFriendship	plain	u8	EWRAM_DATA u8 gAnimFriendship = 0;
battle_anim.c	33	file	global	gWeatherMoveAnim	gWeatherMoveAnim	plain	u16	EWRAM_DATA u16 gWeatherMoveAnim = 0;
battle_anim.c	34	file	global	gBattleAnimArgs	gBattleAnimArgs	plain	s16[ANIM_ARGS_COUNT]	EWRAM_DATA s16 gBattleAnimArgs[ANIM_ARGS_COUNT] = {0};
